dog_count,primary_breed,address
1,American Staffordshire Terrier,"P.O. Box 83 , Coldwater, MI 49036"
1,American Staffordshire Terrier,"Plymouth, MI 48170"
1,American Staffordshire Terrier,"Traverse City, MI 49696"
1,American Staffordshire Terrier,"West Bloomfield, MI 48325"
1,American Staffordshire Terrier,"fennville, MI 49408"
1,Anatolian Shepherd,"323 M-62 North PO Box 132, Cassopolis, MI 49031"
1,Anatolian Shepherd,"3390 S Dog Track Rd. , Baldwin, MI 49304"
1,Anatolian Shepherd,"Jackson, MI 49202"
1,Australian Cattle Dog / Blue Heeler,"1105 S. Isabella Road , Mount Pleasant, MI 48858"
1,Australian Cattle Dog / Blue Heeler,"21860 Van Horn , Woodhaven, MI 48183"
1,Australian Cattle Dog / Blue Heeler,"418 S. Highlander Way , Howell, MI 48843"
1,Australian Cattle Dog / Blue Heeler,"51299 Arkona Rd. , Belleville, MI 48111"
1,Australian Cattle Dog / Blue Heeler,"Detroit, MI 48232"
1,Australian Cattle Dog / Blue Heeler,"Linden, MI 48451"
1,Australian Cattle Dog / Blue Heeler,"Manistee, MI 49660"
1,Australian Cattle Dog / Blue Heeler,"Muskegon, MI 49442"
1,Australian Cattle Dog / Blue Heeler,"P.O. Box 190121 , Burton, MI 48519"
1,Australian Cattle Dog / Blue Heeler,"PETCO STORE   23 Mile Road & Gratiot , Macomb, MI 48042"
1,Australian Cattle Dog / Blue Heeler,"PO Box 180155 , Utica, MI 48318"
1,Australian Cattle Dog / Blue Heeler,"Saginaw, MI 48602"
1,Australian Cattle Dog / Blue Heeler,"fennville, MI 49408"
1,Australian Kelpie,"1200 N. Telegraph Building 42 East, Pontiac, MI 48341"
1,Australian Kelpie,"8935 Thompson Rd. , Lake Odessa, MI 48849"
1,Australian Kelpie,"White Lake, MI 48386"
1,Australian Shepherd,"25503 Clara Lane , Southfield, MI 48034"
1,Australian Shepherd,"2640 Marquette  Avenue , Muskegon, MI 49442"
1,Australian Shepherd,"740 Fuller Ave. NE , Grand Rapids, MI 49503"
1,Australian Shepherd,"Birmingham, MI 48012"
1,Australian Shepherd,"Coldwater, MI 49036"
1,Australian Shepherd,"Detroit, MI 48206"
1,Australian Shepherd,"Detroit, MI 48216"
1,Australian Shepherd,"Harrison, MI 48625"
1,Australian Shepherd,"Livonia, MI 48152"
1,Australian Shepherd,"Midland, MI 48642"
1,Australian Shepherd,"PO Box 180155 , Utica, MI 48318"
1,Australian Shepherd,"Warren, MI 48089"
1,Basset Hound,"969 Wildwood Rd , Quincy, MI 49082"
1,Basset Hound,"Detroit, MI 48216"
1,Basset Hound,"Muskegon, MI 49442"
1,Basset Hound,"Plymouth, MI 48170"
1,Beagle,"13800 15 Mile Rd. , Sterling Heights, MI 48312"
