Address,Most Popular Breed,Number of Dogs
"13575 N. Fenton Rd , Fenton, MI 48430",Pit Bull Terrier,1
"1367 S. M-33 , West Branch, MI 48661",Belgian Shepherd / Malinois,1
"1367 S. M-33 , West Branch, MI 48661",German Shepherd Dog,1
"1367 S. M-33 , West Branch, MI 48661",Treeing Walker Coonhound,1
"13800 15 Mile Rd. , Sterling Heights, MI 48312",Beagle,1
"13800 15 Mile Rd. , Sterling Heights, MI 48312",Chihuahua,1
"13800 15 Mile Rd. , Sterling Heights, MI 48312",Hound,1
"13800 15 Mile Rd. , Sterling Heights, MI 48312",Pharaoh Hound,1
"13800 15 Mile Rd. , Sterling Heights, MI 48312",Staffordshire Bull Terrier,1
"13800 15 Mile Rd. , Sterling Heights, MI 48312",Terrier,1
"13888 Blair St , Holland, MI 49424",Boxer,1
"13888 Blair St , Holland, MI 49424",Shar-Pei,1
"1406 6th Ave , Cadillac, MI 49601",Bluetick Coonhound,1
"1406 6th Ave , Cadillac, MI 49601",Pit Bull Terrier,1
"14345 Bagley St , West Olive, MI 49460",Boxer,1
"150 Waterstradt-Commerce Drive , Dundee, MI 48131",Cattle Dog,1
"150 Waterstradt-Commerce Drive , Dundee, MI 48131",Pit Bull Terrier,1
"1515 Carmen Drive , Jackson, MI 49202",American Bulldog,1
"1515 Carmen Drive , Jackson, MI 49202",Beagle,1
"1515 Carmen Drive , Jackson, MI 49202",Hound,1
"1515 Carmen Drive , Jackson, MI 49202",Husky,1
"1515 Carmen Drive , Jackson, MI 49202",Labrador Retriever,1
"1515 Carmen Drive , Jackson, MI 49202",Mixed Breed,1
"1515 Carmen Drive , Jackson, MI 49202",Pit Bull Terrier,1
"1515 Carmen Drive , Jackson, MI 49202",Siberian Husky,1
"1515 Carmen Drive , Jackson, MI 49202",Whippet,1
"16083 E 9 Mile Rd , Eastpointe, MI 48021",Mixed Breed,1
"18400 220th Avenue , Big Rapids, MI 49307",Coonhound,1
"18400 220th Avenue , Big Rapids, MI 49307",Golden Retriever,1
"185 Panther Dr , Holland, MI 49424",Cattle Dog,1
"185 Panther Dr , Holland, MI 49424",Husky,1
"185 Panther Dr , Holland, MI 49424",Labrador Retriever,1
"185 Panther Dr , Holland, MI 49424",Mixed Breed,1
"185 Panther Dr , Holland, MI 49424",Pit Bull Terrier,1
"185 Panther Dr , Holland, MI 49424",Pomeranian,1
"2120 Metamora Road , Oxford, MI 48371",Akita,1
"2120 Metamora Road , Oxford, MI 48371",American Bulldog,1
"2120 Metamora Road , Oxford, MI 48371",Beagle,1
"2120 Metamora Road , Oxford, MI 48371",Boxer,1
"2120 Metamora Road , Oxford, MI 48371",English Bulldog,1
"2120 Metamora Road , Oxford, MI 48371",Golden Retriever,1
"2120 Metamora Road , Oxford, MI 48371",Great Dane,1
"2120 Metamora Road , Oxford, MI 48371",Labrador Retriever,1
"2120 Metamora Road , Oxford, MI 48371",Shepherd,1
"2120 Metamora Road , Oxford, MI 48371",Staffordshire Bull Terrier,1
"21417 Dunham Road , Clinton Township, MI 48036",American Bulldog,1
"21417 Dunham Road , Clinton Township, MI 48036",American Staffordshire Terrier,1
"21417 Dunham Road , Clinton Township, MI 48036",German Shepherd Dog,1
"217 N. Fiske Road Mailing address only, Coldwater, MI 49036",Black Labrador Retriever,1
"217 N. Fiske Road Mailing address only, Coldwater, MI 49036",Boxer,1
"217 N. Fiske Road Mailing address only, Coldwater, MI 49036",Chihuahua,1
"217 N. Fiske Road Mailing address only, Coldwater, MI 49036",Poodle,1
"217 N. Fiske Road Mailing address only, Coldwater, MI 49036",Terrier,1
"217 N. Fiske Road Mailing address only, Coldwater, MI 49036",West Highland White Terrier / Westie,1
"2185 W. Baseline Road , Shelby, MI 49455",Boxer,1
"2185 W. Baseline Road , Shelby, MI 49455",Husky,1
"2185 W. Baseline Road , Shelby, MI 49455",Labrador Retriever,1
"2185 W. Baseline Road , Shelby, MI 49455",Plott Hound,1
"21860 Van Horn , Woodhaven, MI 48183",Australian Cattle Dog / Blue Heeler,1
"21860 Van Horn , Woodhaven, MI 48183",Pit Bull Terrier,1
"219 Peekstock Drive , Kalamazoo, MI 49001",Boxer,1
"219 Peekstock Drive , Kalamazoo, MI 49001",Chihuahua,1
"219 Peekstock Drive , Kalamazoo, MI 49001",Chocolate Labrador Retriever,1
"219 Peekstock Drive , Kalamazoo, MI 49001",Feist,1
"219 Peekstock Drive , Kalamazoo, MI 49001",Jack Russell Terrier,1
"219 Peekstock Drive , Kalamazoo, MI 49001",Retriever,1
"219 Peekstock Drive , Kalamazoo, MI 49001",Shepherd,1
"219 Peekstock Drive , Kalamazoo, MI 49001",Siberian Husky,1
"2260 S. Elkton Road , Elkton, MI 48731",Boxer,1
"2260 S. Elkton Road , Elkton, MI 48731",German Shepherd Dog,1
"2260 S. Elkton Road , Elkton, MI 48731",Husky,1
"2260 S. Elkton Road , Elkton, MI 48731",Rat Terrier,1
